FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2009/10,Vancouver Island and Coast,Cowichan Valley Regional District,REFRESHMENT BEVERAGE,"207,962.22","928,634.69"
Fiscal 2009/10,Vancouver Island and Coast,Cowichan Valley Regional District,SPIRITS,"199,416.87","5,808,895.17"
Fiscal 2009/10,Vancouver Island and Coast,Cowichan Valley Regional District,WINE,"477,510.55","5,262,708.14"
Fiscal 2009/10,Vancouver Island and Coast,Mount Waddington Regional District,BEER,"605,333.81","2,428,441.58"
Fiscal 2009/10,Vancouver Island and Coast,Mount Waddington Regional District,REFRESHMENT BEVERAGE,"105,973.10","456,585.36"
Fiscal 2009/10,Vancouver Island and Coast,Mount Waddington Regional District,SPIRITS,"63,393.99","1,851,800.97"
Fiscal 2009/10,Vancouver Island and Coast,Mount Waddington Regional District,WINE,"112,231.37","1,200,346.48"
Fiscal 2009/10,Vancouver Island and Coast,Nanaimo Regional District,BEER,"2,587,345.18","10,632,640.99"
Fiscal 2009/10,Vancouver Island and Coast,Nanaimo Regional District,REFRESHMENT BEVERAGE,"328,433.51","1,483,560.39"
Fiscal 2009/10,Vancouver Island and Coast,Nanaimo Regional District,SPIRITS,"437,942.03","13,026,198.36"
Fiscal 2009/10,Vancouver Island and Coast,Nanaimo Regional District,WINE,"1,226,194.45","14,492,613.62"
Fiscal 2009/10,Vancouver Island and Coast,Powell River Regional District,BEER,"373,127.98","1,519,750.07"
Fiscal 2009/10,Vancouver Island and Coast,Powell River Regional District,REFRESHMENT BEVERAGE,"56,608.09","249,280.93"
Fiscal 2009/10,Vancouver Island and Coast,Powell River Regional District,SPIRITS,"61,785.65","1,843,850.02"
Fiscal 2009/10,Vancouver Island and Coast,Powell River Regional District,WINE,"145,754.49","1,619,922.50"
Fiscal 2009/10,Vancouver Island and Coast,Strathcona Regional District,BEER,"738,754.76","3,018,384.78"
Fiscal 2009/10,Vancouver Island and Coast,Strathcona Regional District,REFRESHMENT BEVERAGE,"95,565.25","435,788.36"
Fiscal 2009/10,Vancouver Island and Coast,Strathcona Regional District,SPIRITS,"118,642.02","3,506,712.99"
Fiscal 2009/10,Vancouver Island and Coast,Strathcona Regional District,WINE,"251,322.22","2,824,178.30"
Fiscal 2010/11,Cariboo,Cariboo Regional District,BEER,"1,383,781.89","5,693,614.29"
Fiscal 2010/11,Cariboo,Cariboo Regional District,REFRESHMENT BEVERAGE,"161,083.63","744,409.25"
Fiscal 2010/11,Cariboo,Cariboo Regional District,SPIRITS,"200,552.62","6,080,603.33"
Fiscal 2010/11,Cariboo,Cariboo Regional District,WINE,"330,520.69","3,676,285.68"
Fiscal 2010/11,Cariboo,Fraser-Fort George Regional District,BEER,"2,024,715.22","8,328,987.68"
Fiscal 2010/11,Cariboo,Fraser-Fort George Regional District,REFRESHMENT BEVERAGE,"206,595.78","1,007,739.13"
Fiscal 2010/11,Cariboo,Fraser-Fort George Regional District,SPIRITS,"289,850.30","8,905,336.87"
Fiscal 2010/11,Cariboo,Fraser-Fort George Regional District,WINE,"466,055.10","5,758,352.25"
Fiscal 2010/11,Kootenay,Central Kootenay Regional District,BEER,"1,585,154.74","6,684,448.58"
Fiscal 2010/11,Kootenay,Central Kootenay Regional District,REFRESHMENT BEVERAGE,"174,710.57","808,490.97"
Fiscal 2010/11,Kootenay,Central Kootenay Regional District,SPIRITS,"178,117.96","5,515,557.42"
Fiscal 2010/11,Kootenay,Central Kootenay Regional District,WINE,"427,403.33","5,100,052.57"
Fiscal 2010/11,Kootenay,East Kootenay Regional District,BEER,"1,878,481.48","7,815,232.60"
Fiscal 2010/11,Kootenay,East Kootenay Regional District,REFRESHMENT BEVERAGE,"150,078.38","735,799.06"
Fiscal 2010/11,Kootenay,East Kootenay Regional District,SPIRITS,"219,525.39","6,681,935.22"
Fiscal 2010/11,Kootenay,East Kootenay Regional District,WINE,"400,781.49","4,912,422.47"
Fiscal 2010/11,Kootenay,Kootenay Boundary Regional District,BEER,"1,086,887.91","4,439,524.86"
Fiscal 2010/11,Kootenay,Kootenay Boundary Regional District,REFRESHMENT BEVERAGE,"110,844.81","503,177.90"
